2025-12-18 14:22:44 status unpacked init-system-helpers:all 1.69~deb13u1
2025-12-18 14:22:44 status half-configured init-system-helpers:all 1.69~deb13u1
2025-12-18 14:22:44 status installed init-system-helpers:all 1.69~deb13u1
2025-12-18 14:22:44 configure libgcc-s1:amd64 14.2.0-19 <none>
2025-12-18 14:22:44 status unpacked libgcc-s1:amd64 14.2.0-19
2025-12-18 14:22:44 status half-configured libgcc-s1:amd64 14.2.0-19
2025-12-18 14:22:44 status installed libgcc-s1:amd64 14.2.0-19
2025-12-18 14:22:44 configure libc6:amd64 2.41-12 <none>
2025-12-18 14:22:44 status unpacked libc6:amd64 2.41-12
2025-12-18 14:22:44 status half-configured libc6:amd64 2.41-12
2025-12-18 14:22:44 status installed libc6:amd64 2.41-12
2025-12-18 14:22:44 configure libdb5.3t64:amd64 5.3.28+dfsg2-9 <none>
2025-12-18 14:22:44 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-12-18 14:22:44 status half-configured libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-12-18 14:22:44 status installed libdb5.3t64:amd64 5.3.28+dfsg2-9
2025-12-18 14:22:44 configure libmd0:amd64 1.1.0-2+b1 <none>
2025-12-18 14:22:44 status unpacked libmd0:amd64 1.1.0-2+b1
2025-12-18 14:22:44 status half-configured libmd0:amd64 1.1.0-2+b1
2025-12-18 14:22:44 status installed libmd0:amd64 1.1.0-2+b1
2025-12-18 14:22:44 configure libxxhash0:amd64 0.8.3-2 <none>
2025-12-18 14:22:44 status unpacked libxxhash0:amd64 0.8.3-2
2025-12-18 14:22:44 status half-configured libxxhash0:amd64 0.8.3-2
2025-12-18 14:22:44 status installed libxxhash0:amd64 0.8.3-2
2025-12-18 14:22:44 configure libattr1:amd64 1:2.5.2-3 <none>
2025-12-18 14:22:44 status unpacked libattr1:amd64 1:2.5.2-3
2025-12-18 14:22:44 status half-configured libattr1:amd64 1:2.5.2-3
2025-12-18 14:22:44 status installed libattr1:amd64 1:2.5.2-3
2025-12-18 14:22:44 configure sysvinit-utils:amd64 3.14-4 <none>
2025-12-18 14:22:44 status unpacked sysvinit-utils:amd64 3.14-4
2025-12-18 14:22:44 status half-configured sysvinit-utils:amd64 3.14-4
2025-12-18 14:22:44 status installed sysvinit-utils:amd64 3.14-4
2025-12-18 14:22:45 configure debianutils:amd64 5.23.2 <none>
2025-12-18 14:22:45 status unpacked debianutils:amd64 5.23.2
2025-12-18 14:22:45 status half-configured debianutils:amd64 5.23.2
2025-12-18 14:22:45 status installed debianutils:amd64 5.23.2
2025-12-18 14:22:45 configure mawk:amd64 1.3.4.20250131-1 <none>
2025-12-18 14:22:45 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:45 status half-configured mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:45 status installed mawk:amd64 1.3.4.20250131-1
2025-12-18 14:22:45 configure libdebconfclient0:amd64 0.280 <none>
2025-12-18 14:22:45 status unpacked libdebconfclient0:amd64 0.280
2025-12-18 14:22:45 status half-configured libdebconfclient0:amd64 0.280
2025-12-18 14:22:45 status installed libdebconfclient0:amd64 0.280
2025-12-18 14:22:45 configure base-files:amd64 13.8+deb13u2 <none>
2025-12-18 14:22:45 status unpacked base-files:amd64 13.8+deb13u2
2025-12-18 14:22:45 status half-configured base-files:amd64 13.8+deb13u2
2025-12-18 14:22:45 status installed base-files:amd64 13.8+deb13u2
2025-12-18 14:22:45 configure libbz2-1.0:amd64 1.0.8-6 <none>
